wa_label,ons_label,name,subgroup,OA_2001,OA_2001_new,IN250,OUT250,IN500,OUT500,IN750,OUT750,IN1000,OUT1000
02ANGB,00ANGB0014,,7b2,02ANGB0014,E00009284,0,0,0,0,0,0,0,0
02AJHA,00AJHA0004,,7b1,02AJHA0004,E00006823,0,0,0,0,0,0,0,0
02AJHA,00AJHA0045,,2a1,02AJHA0045,E00006864,0,0,0,0,0,0,0,0
02BDGC,00BDGC0006,,2b2,02BDGC0006,E00019278,0,0,0,0,0,0,0,0
02AJGC,00AJGC0006,,7b1,02AJGC0006,E00005971,0,0,0,0,0,0,0,0
02AXGD,00AXGD0024,,2b1,02AXGD0024,E00014882,0,0,0,0,0,0,0,0
02AXGD,00AXGD0022,,7b2,02AXGD0022,E00014880,0,0,0,0,0,0,0,0
02AXGD,00AXGD0015,,7b2,02AXGD0015,E00014873,0,0,0,0,0,0,0,0
02AJGC,00AJGC0044,,2a2,02AJGC0044,E00006009,0,0,0,0,0,0,0,0
02AXGA,00AXGA0021,,7a2,02AXGA0021,E00014788,0,0,0,0,0,0,0,0
02AXGD,00AXGD0028,,2b2,02AXGD0028,E00014886,0,0,0,0,0,0,0,0
02AXGD,00AXGD0025,,7b2,02AXGD0025,E00014883,0,0,0,0,0,0,0,0
02AXGG,00AXGG0008,,7b1,02AXGG0008,E00014957,0,0,0,0,0,0,0,0
02AJGG,00AJGG0043,,2a2,02AJGG0043,E00006178,0,0,0,0,0,0,0,0
02AXGA,00AXGA0007,,6d1,02AXGA0007,E00014774,0,0,0,0,0,0,0,0
02AXGA,00AXGA0027,,2b2,02AXGA0027,E00014794,0,0,0,0,0,0,0,0
02AXGG,00AXGG0007,,7a3,02AXGG0007,E00014956,0,0,0,0,0,0,0,0
02AXGG,00AXGG0009,,2b2,02AXGG0009,E00014958,0,0,0,0,0,0,0,0
02AXGG,00AXGG0023,,7b1,02AXGG0023,E00014972,0,0,0,0,0,0,0,0
02AXGG,00AXGG0020,,7b2,02AXGG0020,E00014969,0,0,0,0,0,0,0,0
02AXGG,00AXGG0021,,7b1,02AXGG0021,E00014970,0,0,0,0,0,0,0,0
02AJGF,00AJGF0042,,7b1,02AJGF0042,E00006132,0,0,0,0,0,0,0,0
02BJGU,00BJGU0018,,2b2,02BJGU0018,E00023384,0,0,0,0,0,0,0,0
02AXGE,00AXGE0001,,1b2,02AXGE0001,E00014889,0,0,0,0,0,0,0,0
02AJGM,00AJGM0029,,7a3,02AJGM0029,E00006380,0,0,0,0,0,0,0,0
02AJGF,00AJGF0041,,2a2,02AJGF0041,E00006131,0,0,0,0,0,0,0,0
02AJGF,00AJGF0044,,2a2,02AJGF0044,E00006134,0,0,0,0,0,0,0,0
02BJGH,00BJGH0019,,7b2,02BJGH0019,E00022877,0,0,0,0,0,0,0,0
02BFGP,00BFGP0034,,2b2,02BFGP0034,E00020923,0,0,0,0,0,0,0,0
02BFGE,00BFGE0006,,2a2,02BFGE0006,E00020601,0,0,0,0,0,0,0,0
02BFGE,00BFGE0013,,2a2,02BFGE0013,E00020608,0,0,0,0,0,0,0,0
02BFGP,00BFGP0037,,2a2,02BFGP0037,E00020926,0,0,0,0,0,0,0,0
02AHGQ,00AHGQ0042,,7a2,02AHGQ0042,E00005363,0,0,0,0,0,0,0,0
02AHGQ,00AHGQ0043,,7a2,02AHGQ0043,E00005364,0,0,0,0,0,0,0,0
02BFGP,00BFGP0035,,2a2,02BFGP0035,E00020924,0,0,0,0,0,0,0,0
02BEGK,00BEGK0011,,7b2,02BEGK0011,E00019976,0,0,0,0,0,0,0,1
02AJGD,00AJGD0032,,7a3,02AJGD0032,E00006042,0,0,0,0,0,0,0,0
02AJGD,00AJGD0041,,7b2,02AJGD0041,E00006051,0,0,0,0,0,0,0,0
02AJGD,00AJGD0033,,7b2,02AJGD0033,E00006043,0,0,0,0,0,0,0,0
02AJGG,00AJGG0012,,2b2,02AJGG0012,E00006147,0,0,0,0,0,0,0,0
02BFGP,00BFGP0005,,2b2,02BFGP0005,E00020894,0,0,0,0,0,0,0,0
02BFGP,00BFGP0026,,2b2,02BFGP0026,E00020915,0,0,0,0,0,0,0,0
02ASGP,00ASGP0017,,7a3,02ASGP0017,E00012190,0,0,0,0,0,0,0,0
02ASGP,00ASGP0013,,7a3,02ASGP0013,E00012186,0,0,0,0,0,0,0,0
02AHGR,00AHGR0023,,7b1,02AHGR0023,E00005387,0,0,0,0,0,0,0,0
02ATGE,00ATGE0008,,6a2,02ATGE0008,E00012927,0,0,0,0,0,0,0,0
02BFGP,00BFGP0002,,2a2,02BFGP0002,E00020891,0,0,0,0,0,0,0,0
02ASGP,00ASGP0003,,5b1,02ASGP0003,E00012176,0,0,0,0,0,0,0,0
02AJGC,00AJGC0017,,2a2,02AJGC0017,E00005982,0,0,0,0,0,0,0,0
02BFGP,00BFGP0003,,2a2,02BFGP0003,E00020892,0,0,0,0,0,0,0,0
02AJGX,00AJGX0012,,7b2,02AJGX0012,E00006724,0,0,0,0,0,0,0,0
02AJGX,00AJGX0011,,7b1,02AJGX0011,E00006723,0,0,0,0,0,0,0,0
02AJGX,00AJGX0018,,2a2,02AJGX0018,E00006730,0,0,0,0,0,0,0,0
02ASGW,00ASGW0024,,7a3,02ASGW0024,E00012407,0,0,0,0,0,0,0,0
02ASGW,00ASGW0035,,7a1,02ASGW0035,E00012418,0,0,0,0,0,0,0,0
02BFGD,00BFGD0033,,2b1,02BFGD0033,E00020595,0,0,0,0,0,0,0,0
02ASGJ,00ASGJ0021,,7a2,02ASGJ0021,E00012031,0,0,0,0,0,0,0,0
02ASHC,00ASHC0027,,4c2,02ASHC0027,E00012630,0,0,0,0,0,0,0,0
02BJGF,00BJGF0041,,7a3,02BJGF0041,E00022808,0,0,0,0,0,0,0,0
02BAGA,00BAGA0021,,7b2,02BAGA0021,E00017088,0,0,0,0,0,0,0,0
02BAGA,00BAGA0034,,6a2,02BAGA0034,E00017101,0,0,0,0,0,0,0,0
02AJGX,00AJGX0009,,7a3,02AJGX0009,E00006721,0,0,0,0,0,0,0,0
02BAGB,00BAGB0024,,2b2,02BAGB0024,E00017125,0,0,0,0,0,0,0,0
02BFGS,00BFGS0011,,2b2,02BFGS0011,E00021011,0,0,0,0,0,0,0,0
02BFGS,00BFGS0020,,7b2,02BFGS0020,E00021020,0,0,0,0,0,0,0,0
02ASHD,00ASHD0015,,7a3,02ASHD0015,E00012653,0,0,0,0,0,0,0,0
02BDGL,00BDGL0021,,6d2,02BDGL0021,E00019570,0,0,0,0,0,0,0,0
02BFGQ,00BFGQ0005,,2b1,02BFGQ0005,E00020933,0,0,0,0,0,0,0,0
02BFGP,00BFGP0019,,2b1,02BFGP0019,E00020908,0,0,0,0,0,0,0,0
02BFGP,00BFGP0029,,2b1,02BFGP0029,E00020918,0,0,0,0,0,0,0,0
02BFGQ,00BFGQ0011,,2a2,02BFGQ0011,E00020939,0,0,0,0,0,0,0,0
02BFGQ,00BFGQ0012,,2a1,02BFGQ0012,E00020940,0,0,0,0,0,0,0,0
02BFGP,00BFGP0021,,2b1,02BFGP0021,E00020910,0,0,0,0,0,0,0,0
02BFGS,00BFGS0024,,7b1,02BFGS0024,E00021024,0,0,0,0,0,0,0,0
02BFGD,00BFGD0016,,7b1,02BFGD0016,E00020578,0,0,0,0,0,0,0,0
02BFGD,00BFGD0008,,7b1,02BFGD0008,E00020570,0,0,0,0,0,0,0,0
02BFGS,00BFGS0014,,2b1,02BFGS0014,E00021014,0,0,0,0,0,0,0,0
02BFGS,00BFGS0025,,2a2,02BFGS0025,E00021025,0,0,0,0,0,0,0,0
02BFGP,00BFGP0020,,2a2,02BFGP0020,E00020909,0,0,0,0,0,0,0,0
02BAGA,00BAGA0015,,7a3,02BAGA0015,E00017082,0,0,0,0,0,0,0,0
02BFGT,00BFGT0031,,7b1,02BFGT0031,E00021066,0,0,0,0,0,0,0,0
02BFGP,00BFGP0032,,2b2,02BFGP0032,E00020921,0,0,0,0,0,0,0,0
02BFGP,00BFGP0033,,6d2,02BFGP0033,E00020922,0,0,0,0,0,0,0,0
02ASGP,00ASGP0014,,7a3,02ASGP0014,E00012187,0,0,0,0,0,0,0,0
02ASGP,00ASGP0027,,7a3,02ASGP0027,E00012200,0,0,0,0,0,0,0,0
02ATGC,00ATGC0008,,7a2,02ATGC0008,E00012865,0,0,0,0,0,0,0,0
