OA_2001_old,OA_2001,IN500Cent,OUT500Cent,IN750Cent,OUT750Cent,IN1000Cent,OUT1000Cent
00AKGY0028,E00007403,0,0,0,0,0,0
00AKGR0004,E00007127,0,0,0,0,0,0
00BCGK0005,E00018715,0,0,0,0,0,0
00ARGK0004,E00011496,0,0,0,0,0,0
00ARGK0003,E00011495,0,0,0,0,0,0
00ARGK0039,E00011531,0,0,0,0,0,0
00ADGR0010,E00002117,0,0,0,0,0,0
00ARGQ0021,E00011712,0,0,0,0,0,0
00ARGQ0015,E00011706,0,0,0,0,0,0
00BFGM0016,E00020833,0,0,0,0,0,0
00AYGN0004,E00015757,0,0,0,0,0,1
00BFGM0024,E00020841,0,0,0,0,0,0
00ARGW0005,E00011905,0,0,0,0,0,0
00ARGG0007,E00011367,0,0,0,0,0,0
00ARGJ0003,E00011452,0,0,0,0,0,0
00ARGD0025,E00011269,0,0,0,0,0,0
00ATGF0002,E00012956,0,0,0,0,0,0
00AHGU0006,E00005486,0,0,0,0,0,0
00ASGQ0020,E00012228,0,0,0,0,0,0
00BFGM0028,E00020845,0,0,0,0,0,0
00AXGC0009,E00014836,0,0,0,0,0,0
00ARGG0006,E00011366,0,0,0,0,0,0
00AHGJ0006,E00005060,0,0,0,0,0,0
00ASGJ0008,E00012018,0,0,0,0,0,0
00AHGK0032,E00005125,0,0,0,0,0,0
00ATGF0004,E00012958,0,0,0,0,0,0
00ASHD0014,E00012652,0,0,0,0,0,0
00AJGY0011,E00006770,0,0,0,0,0,0
00AXGB0010,E00014810,0,0,0,0,0,0
00BFGM0030,E00020847,0,0,0,0,0,0
00BFGP0008,E00020897,0,0,0,0,0,0
00BFGT0015,E00021050,0,0,0,0,0,0
00AHGU0014,E00005494,0,0,0,0,0,0
00AHGU0013,E00005493,0,0,0,0,0,0
00AHGU0018,E00005498,0,0,0,0,0,0
00BJGL0008,E00023008,0,0,0,0,0,0
00BFGF0015,E00020645,0,0,0,0,0,0
00AJGN0031,E00006430,0,0,0,0,0,0
00BJGL0013,E00023013,0,0,0,0,0,0
00BJGL0020,E00023020,0,0,0,0,0,0
00BJGL0022,E00023022,0,0,0,0,0,0
00AHGG0027,E00004982,0,0,0,0,0,0
00BFGC0030,E00020560,0,0,0,0,0,0
00BJGL0003,E00023003,0,0,0,0,0,0
00AHGU0034,E00005514,0,0,0,0,0,0
00AHGU0009,E00005489,0,0,0,0,0,0
00AHGU0031,E00005511,0,0,0,0,0,0
